"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CAPNS1.1",2.44915310449366e-21,-0.288105443013974,0.475,0.543,8.96414527775725e-17,"2","CAPNS1"
"NDUFB2.1",2.9426864967573e-21,-0.253684460668462,0.635,0.683,1.07705268467814e-16,"2","NDUFB2"
"DNAJC1.1",7.46297184386534e-21,-0.296845860889523,0.258,0.341,2.73152232457315e-16,"2","DNAJC1"
"EGR1",1.51267814184095e-20,0.328852078758204,0.272,0.192,5.53655326695206e-16,"2","EGR1"
"DCTN3",1.65443213965374e-20,-0.271730354314435,0.383,0.454,6.05538707434667e-16,"2","DCTN3"
"SUPT4H1.1",1.8596472878639e-20,-0.273783214641628,0.279,0.365,6.80649503831068e-16,"2","SUPT4H1"
"DNAJB6.1",2.67491776423681e-20,-0.275841115715465,0.338,0.421,9.79046650888316e-16,"2","DNAJB6"
"GSTP1",4.82036862483506e-20,-0.284014075729209,0.641,0.672,1.76430312037588e-15,"2","GSTP1"
"ARPC5L.1",5.77271450557339e-20,-0.29862608593924,0.446,0.511,2.11287123618491e-15,"2","ARPC5L"
"MTRNR2L8.2",7.49270127635155e-20,-0.870927408133786,0.352,0.421,2.74240359415743e-15,"2","MTRNR2L8"
"TSEN54.1",1.08303532525882e-19,-0.294564162932513,0.328,0.405,3.96401759397979e-15,"2","TSEN54"
"DIAPH1.1",1.30871405426606e-19,-0.272274912452175,0.341,0.421,4.7900243100192e-15,"2","DIAPH1"
"DGKZ",1.53493754507562e-19,-0.271295080254481,0.481,0.549,5.61802490873127e-15,"2","DGKZ"
"PTPN18.1",1.6953042095202e-19,-0.255049976373364,0.224,0.308,6.20498293726489e-15,"2","PTPN18"
"IFI27L2.1",1.92842254456735e-19,-0.260027953884885,0.292,0.373,7.05821935537096e-15,"2","IFI27L2"
"PTPN22.1",1.97594674017464e-19,-0.281296551217845,0.263,0.344,7.23216266371322e-15,"2","PTPN22"
"ACTR3",2.15411840388848e-19,-0.290687450585463,0.687,0.7,7.88428877007221e-15,"2","ACTR3"
"PSMA4",3.31280420535072e-19,-0.255314210226095,0.264,0.344,1.21251946720042e-14,"2","PSMA4"
